127.0.0.1, 2018-11-28 15:37:06, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-11-28 15:37:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.618000
127.0.0.1, 2018-11-28 15:37:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.002000
127.0.0.1, 2018-11-28 15:37:10, GET, /admin/default/site, HTTP/1.1, 303, 0.451000
127.0.0.1, 2018-11-28 15:37:10, GET, /admin/default/index, HTTP/1.1, 200, 0.140000
127.0.0.1, 2018-11-28 15:37:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:37:12, POST, /admin/default/index, HTTP/1.1, 303, 0.023000
127.0.0.1, 2018-11-28 15:37:12, GET, /admin/default/site, HTTP/1.1, 200, 0.063000
127.0.0.1, 2018-11-28 15:37:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.214000
127.0.0.1, 2018-11-28 15:37:13, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2018-11-28 15:38:32, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-11-28 15:38:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.138000
127.0.0.1, 2018-11-28 15:38:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-28 15:38:36, GET, /campus_exchange, HTTP/1.1, 200, 0.719000
127.0.0.1, 2018-11-28 15:38:36, GET, /campus_exchange/api/get_memos, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-11-28 15:38:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:38:48, GET, /campus_exchange, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-11-28 15:38:48, GET, /campus_exchange/api/get_memos, HTTP/1.1, 200, 0.050000
127.0.0.1, 2018-11-28 15:38:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:38:50, GET, /admin/default/site, HTTP/1.1, 200, 0.244000
127.0.0.1, 2018-11-28 15:38:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:38:52, GET, /campus_exchange, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-11-28 15:38:52, GET, /campus_exchange/api/get_memos, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-11-28 15:38:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:38:54, GET, /admin/default/site, HTTP/1.1, 200, 0.165000
127.0.0.1, 2018-11-28 15:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:39:00, GET, /admin/default/design/campus_exchange, HTTP/1.1, 200, 0.332000
127.0.0.1, 2018-11-28 15:39:00, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-28 15:39:00, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-28 15:39:00, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-28 15:39:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:39:01, GET, /campus_exchange/appadmin/index, HTTP/1.1, 200, 0.210000
127.0.0.1, 2018-11-28 15:39:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:39:02, GET, /campus_exchange/appadmin/hooks, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-11-28 15:39:05, GET, /campus_exchange/appadmin/select/db, HTTP/1.1, 200, 0.096000
127.0.0.1, 2018-11-28 15:39:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:39:09, GET, /campus_exchange/default/user/register, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-11-28 15:39:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:39:52, GET, /campus_exchange, HTTP/1.1, 200, 0.106000
127.0.0.1, 2018-11-28 15:39:53, GET, /campus_exchange/api/get_memos, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-11-28 15:39:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:39:54, GET, /admin/default/site, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-11-28 15:39:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:40:00, GET, /admin/default/design/campus_exchange, HTTP/1.1, 200, 0.335000
127.0.0.1, 2018-11-28 15:40:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:40:02, GET, /campus_exchange/appadmin/index, HTTP/1.1, 200, 0.105000
127.0.0.1, 2018-11-28 15:40:03, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2018-11-28 15:40:03, GET, /campus_exchange/appadmin/hooks, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-11-28 15:40:07, GET, /campus_exchange/appadmin/select/db, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-11-28 15:40:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:40:11, GET, /campus_exchange/appadmin/index, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-11-28 15:40:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:40:11, GET, /campus_exchange/appadmin/hooks, HTTP/1.1, 200, 0.050000
127.0.0.1, 2018-11-28 15:40:12, GET, /campus_exchange/appadmin/select/db, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-11-28 15:40:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 15:40:16, GET, /campus_exchange/default/user/register, HTTP/1.1, 200, 0.212000
127.0.0.1, 2018-11-28 15:40:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:44:34, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2018-11-28 15:44:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.128000
127.0.0.1, 2018-11-28 15:44:35, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-28 15:45:22, GET, /campus_exchange, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-28 15:45:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 15:46:19, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2018-11-28 15:46:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.154000
127.0.0.1, 2018-11-28 15:46:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-28 15:46:25, GET, /campus_exchange, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-28 15:46:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:00:15, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2018-11-28 16:00:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.193000
127.0.0.1, 2018-11-28 16:00:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-28 16:00:23, GET, /admin, HTTP/1.1, 200, 0.228000
127.0.0.1, 2018-11-28 16:00:23, GET, /admin, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-11-28 16:00:23, GET, /admin/static/_2.17.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-28 16:00:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:00:27, POST, /admin/default/index, HTTP/1.1, 200, 1.047000
127.0.0.1, 2018-11-28 16:00:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:00:29, POST, /admin/default/index, HTTP/1.1, 303, 0.025000
127.0.0.1, 2018-11-28 16:00:29, GET, /admin/default/site, HTTP/1.1, 200, 0.091000
127.0.0.1, 2018-11-28 16:00:30, POST, /admin/default/check_version, HTTP/1.1, 200, 0.332000
127.0.0.1, 2018-11-28 16:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 16:01:00, GET, /admin/default/site, HTTP/1.1, 200, 0.211000
127.0.0.1, 2018-11-28 16:01:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:01:37, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-11-28 16:01:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.150000
127.0.0.1, 2018-11-28 16:01:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-28 16:01:39, GET, /admin/default/site, HTTP/1.1, 200, 0.226000
127.0.0.1, 2018-11-28 16:01:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:01:43, GET, /admin/default/design/campus_exchange, HTTP/1.1, 200, 0.279000
127.0.0.1, 2018-11-28 16:01:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:01:44, GET, /campus_exchange/appadmin/index, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-11-28 16:01:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 16:01:45, GET, /campus_exchange/appadmin/hooks, HTTP/1.1, 200, 0.057000
